# k    mu    diag_Cov_Pwnw
0.0045530 1.0000000 3812306.6000000
0.0064390 0.7071000 1191441.0000000
0.0077730 0.0000000 6244.9231000
0.0078860 0.5774000 697993.9700000
0.0091060 1.0000000 7192800.3000000
0.0101800 0.4472000 803456.3800000
0.0101800 0.8944000 983233.2700000
0.0111500 0.4082000 304892.2400000
0.0111500 0.8165000 2293592.8000000
0.0126200 0.0000000 261240.9600000
0.0128800 0.7071000 853663.7300000
0.0136600 0.3333000 1037727.9000000
0.0136600 0.6667000 455730.7100000
0.0136600 1.0000000 5036523.8000000
0.0144000 0.3162000 633235.9700000
0.0144000 0.9487000 1706621.5000000
0.0151000 0.3015000 427040.9600000
0.0151000 0.9045000 1744392.2000000
0.0157700 0.5774000 1254496.9000000
0.0164200 0.5547000 1127595.3000000
0.0164200 0.8321000 1406279.7000000
0.0170400 0.2673000 552086.6000000
0.0170400 0.5345000 653114.8100000
0.0170400 0.8018000 561017.8800000
0.0179800 0.0000000 72312.7560000
0.0182100 1.0000000 7158746.9000000
0.0187700 0.2425000 1190514.0000000
0.0187700 0.4851000 278651.2800000
0.0187700 0.7276000 1024433.4000000
0.0187700 0.9701000 1416433.6000000
0.0193200 0.2357000 448876.0500000
0.0193200 0.7071000 1352141.0000000
0.0193200 0.9428000 1824412.8000000
0.0198500 0.2294000 445355.3300000
0.0198500 0.6882000 645024.6200000
0.0203600 0.4472000 1054258.9000000
0.0203600 0.8944000 1718871.5000000
0.0208600 0.2182000 479213.0800000
0.0208600 0.4364000 436994.6600000
0.0208600 0.8729000 1020697.4000000
0.0213600 0.4264000 893201.6100000
0.0213600 0.6396000 492979.4200000
0.0223100 0.4082000 375535.3600000
0.0223100 0.8165000 1226405.1000000
0.0227200 0.0000000 22540.4490000
0.0227700 0.6000000 1331780.3000000
0.0227700 0.8000000 1857378.5000000
0.0227700 1.0000000 7225017.8000000
0.0232200 0.5883000 621443.5300000
0.0232200 0.7845000 631947.6900000
0.0232200 0.9806000 2574182.0000000
0.0233900 0.1946000 147029.7400000
0.0236600 0.5774000 738581.6500000
0.0236600 0.9623000 2242640.4000000
0.0245200 0.3714000 253765.0600000
0.0245200 0.5571000 351705.6700000
0.0245200 0.7428000 534921.4700000
0.0245200 0.9285000 2132051.2000000
0.0249400 0.1826000 248223.9600000
0.0249400 0.3651000 392396.6100000
0.0249400 0.9129000 1024984.6000000
0.0257600 0.7071000 952583.3300000
0.0261600 0.1741000 481698.7600000
0.0261600 0.3482000 549776.5100000
0.0261600 0.6963000 612813.7800000
0.0261600 0.8704000 1518544.0000000
0.0265500 0.5145000 263935.8300000
0.0265500 0.6860000 1697526.6000000
0.0265500 0.8575000 1471304.5000000
0.0269400 0.5071000 663520.4500000
0.0269400 0.8452000 892149.7400000
0.0273200 0.3333000 510301.2800000
0.0273200 0.6667000 595376.8600000
0.0273200 1.0000000 7249835.3000000
0.0275400 0.1654000 160465.6400000
0.0277000 0.9864000 1939195.0000000
0.0277500 0.0000000 37565.1280000
0.0280700 0.3244000 397138.4000000
0.0280700 0.4867000 283738.5800000
0.0280700 0.8111000 624079.7400000
0.0280700 0.9733000 2080951.4000000
0.0288000 0.9487000 1199507.7000000
0.0290300 0.3136000 333525.0600000
0.0291500 0.4685000 792579.6400000
0.0291500 0.6247000 272171.2200000
0.0291500 0.7809000 1527175.1000000
0.0291500 0.9370000 1068110.2000000
0.0293300 0.1552000 139540.9600000
0.0295100 0.6172000 506598.9700000
0.0295100 0.7715000 351517.3700000
0.0298600 0.4575000 536123.3300000
0.0298600 0.7625000 869334.2900000
0.0302000 0.3015000 512326.9100000
0.0302000 0.9045000 1399136.1000000
0.0305400 0.2981000 275256.3500000
0.0305400 0.5963000 420027.6300000
0.0305400 0.7454000 468096.4100000
0.0305400 0.8944000 1513414.8000000
0.0307700 0.4440000 211372.7600000
0.0308800 0.8847000 573928.2100000
0.0315400 0.5774000 945861.6200000
0.0318700 0.2857000 277140.9600000
0.0318700 0.8571000 528130.7100000
0.0318700 1.0000000 4183302.7000000
0.0319200 0.1427000 102858.9100000
0.0320300 0.4264000 146803.8500000
0.0321900 0.5657000 434653.6500000
0.0323200 0.7043000 152318.9700000
0.0323500 0.9851000 725919.9400000
0.0325700 0.0000000 24300.2560000
0.0328300 0.5547000 638230.4200000
0.0328300 0.8321000 856100.5600000
0.0331500 0.5494000 362575.3800000
0.0331500 0.8242000 489075.5000000
0.0331500 0.9615000 1265043.1000000
0.0333800 0.2728000 127089.6800000
0.0334600 0.4082000 270048.5100000
0.0334600 0.6804000 427730.7100000
0.0334600 0.8165000 982062.5600000
