# k    mu    diag_Cov_Pwnw
0.0045530 1.0000000 179633.9500000
0.0064390 0.7071000 92347.4770000
0.0077730 0.0000000 213486.8800000
0.0078860 0.5774000 119753.1900000
0.0091060 1.0000000 373865.8800000
0.0101800 0.4472000 149044.8500000
0.0101800 0.8944000 101007.1500000
0.0111500 0.4082000 113087.9700000
0.0111500 0.8165000 159829.7900000
0.0126200 0.0000000 45989.1670000
0.0128800 0.7071000 128242.3400000
0.0136600 0.3333000 235471.7400000
0.0136600 0.6667000 128882.1900000
0.0136600 1.0000000 353406.0100000
0.0144000 0.3162000 230905.3800000
0.0144000 0.9487000 71048.7590000
0.0151000 0.3015000 119533.0800000
0.0151000 0.9045000 110536.6600000
0.0157700 0.5774000 194416.6500000
0.0164200 0.5547000 232762.9200000
0.0164200 0.8321000 117792.1800000
0.0170400 0.2673000 98254.4810000
0.0170400 0.5345000 71316.8200000
0.0170400 0.8018000 62792.9330000
0.0179800 0.0000000 87824.6150000
0.0182100 1.0000000 212314.8200000
0.0187700 0.2425000 306264.1000000
0.0187700 0.4851000 110173.7800000
0.0187700 0.7276000 84623.0150000
0.0187700 0.9701000 134060.9500000
0.0193200 0.2357000 120806.2100000
0.0193200 0.7071000 163794.9700000
0.0193200 0.9428000 172764.9700000
0.0198500 0.2294000 187745.0400000
0.0198500 0.6882000 81730.7050000
0.0203600 0.4472000 290149.3900000
0.0203600 0.8944000 67367.8950000
0.0208600 0.2182000 163049.7200000
0.0208600 0.4364000 76619.4710000
0.0208600 0.8729000 72777.1790000
0.0213600 0.4264000 133901.7400000
0.0213600 0.6396000 87097.9900000
0.0223100 0.4082000 133275.4500000
0.0223100 0.8165000 110484.0500000
0.0227200 0.0000000 47122.0510000
0.0227700 0.6000000 224467.0200000
0.0227700 0.8000000 110040.9500000
0.0227700 1.0000000 312624.8800000
0.0232200 0.5883000 122728.5500000
0.0232200 0.7845000 71101.4850000
0.0232200 0.9806000 174615.0500000
0.0233900 0.1946000 41015.1280000
0.0236600 0.5774000 192005.7900000
0.0236600 0.9623000 160534.1500000
0.0245200 0.3714000 70726.8100000
0.0245200 0.5571000 104547.7800000
0.0245200 0.7428000 119784.3300000
0.0245200 0.9285000 153031.9700000
0.0249400 0.1826000 82780.8690000
0.0249400 0.3651000 116398.3000000
0.0249400 0.9129000 49546.0460000
0.0257600 0.7071000 136510.5100000
0.0261600 0.1741000 181902.0100000
0.0261600 0.3482000 112197.8200000
0.0261600 0.6963000 68089.7890000
0.0261600 0.8704000 149326.0500000
0.0265500 0.5145000 60013.0770000
0.0265500 0.6860000 185293.1000000
0.0265500 0.8575000 230314.9100000
0.0269400 0.5071000 76294.4000000
0.0269400 0.8452000 49288.2330000
0.0273200 0.3333000 181522.3300000
0.0273200 0.6667000 70067.4460000
0.0273200 1.0000000 522319.5900000
0.0275400 0.1654000 36991.5120000
0.0277000 0.9864000 129126.1200000
0.0277500 0.0000000 48751.7280000
0.0280700 0.3244000 61770.6400000
0.0280700 0.4867000 55097.3280000
0.0280700 0.8111000 79298.4490000
0.0280700 0.9733000 122628.2300000
0.0288000 0.9487000 55983.0640000
0.0290300 0.3136000 75320.8690000
0.0291500 0.4685000 104154.7200000
0.0291500 0.6247000 66668.6150000
0.0291500 0.7809000 134641.0200000
0.0291500 0.9370000 49584.2920000
0.0293300 0.1552000 36120.9740000
0.0295100 0.6172000 87027.4710000
0.0295100 0.7715000 84302.5410000
0.0298600 0.4575000 67122.7630000
0.0298600 0.7625000 96633.7920000
0.0302000 0.3015000 108343.1000000
0.0302000 0.9045000 84564.2050000
0.0305400 0.2981000 126390.5600000
0.0305400 0.5963000 72019.1900000
0.0305400 0.7454000 77764.4040000
0.0305400 0.8944000 83660.0790000
0.0307700 0.4440000 42415.7790000
0.0308800 0.8847000 71597.9590000
0.0315400 0.5774000 130811.1300000
0.0318700 0.2857000 72650.8210000
0.0318700 0.8571000 34319.8560000
0.0318700 1.0000000 308449.3700000
0.0319200 0.1427000 30780.0970000
0.0320300 0.4264000 31515.8440000
0.0321900 0.5657000 78992.5920000
0.0323200 0.7043000 27078.6610000
0.0323500 0.9851000 41318.9940000
0.0325700 0.0000000 35000.2400000
0.0328300 0.5547000 152063.8600000
0.0328300 0.8321000 51048.0610000
0.0331500 0.5494000 89432.9940000
0.0331500 0.8242000 50707.2820000
0.0331500 0.9615000 44213.1280000
0.0333800 0.2728000 48169.5120000
0.0334600 0.4082000 95717.2080000
0.0334600 0.6804000 51559.1630000
0.0334600 0.8165000 125269.0200000
0.0334600 0.9526000 37331.3310000
0.0338600 0.1345000 33013.0770000
0.0340700 0.5345000 52794.1510000
0.0340700 0.8018000 71166.2150000
0.0342200 0.2661000 31538.8690000
0.0343700 0.5298000 51649.4230000
0.0343700 0.6623000 144498.3800000
0.0343700 0.9272000 75500.8400000
0.0348700 0.9139000 22222.5120000
0.0349000 0.3914000 35608.8620000
0.0349700 0.6509000 47941.3330000
0.0355600 0.5121000 46238.8300000
0.0355600 0.6402000 114311.9900000
0.0356800 0.7657000 25153.8050000
0.0357100 0.3826000 33141.6690000
0.0358500 0.2540000 56487.1990000
0.0358500 0.6350000 46926.2850000
0.0358500 0.8890000 44008.1000000
0.0364200 1.0000000 600971.6600000
0.0367100 0.6202000 49074.1220000
0.0367100 0.7442000 67409.0770000
0.0367100 0.9923000 62631.5330000
0.0368900 0.1235000 17469.0030000
0.0369000 0.8638000 31545.9430000
0.0369200 0.4933000 34610.2250000
0.0369900 0.6155000 51607.3330000
0.0369900 0.9847000 93677.9480000
0.0372700 0.3665000 71348.8460000
0.0372700 0.8552000 93729.2590000
0.0374500 0.0000000 31594.1820000
0.0374600 0.2431000 24471.0200000
0.0375500 0.7276000 94036.2560000
0.0375500 0.9701000 103458.8100000
0.0376800 0.4833000 27867.4330000
0.0378200 0.8427000 79761.5490000
0.0378200 0.9631000 56709.8330000
0.0380900 0.5976000 57535.3620000
0.0380900 0.7171000 70046.3180000
0.0383600 0.3561000 42604.3940000
0.0386300 0.2357000 86119.7950000
0.0386300 0.9428000 102826.7100000
0.0388100 0.7039000 61532.9210000
0.0389000 0.9363000 135313.6900000
0.0391700 0.4650000 56197.2300000
0.0391700 0.5812000 150691.6400000
0.0391700 0.8137000 30179.5220000
0.0391700 0.9300000 75905.8920000
0.0392200 0.1161000 36030.4510000
0.0394300 0.3465000 20945.1480000
0.0394300 0.5774000 32982.6870000
0.0394300 0.8083000 53193.6610000
0.0398200 0.6860000 38263.2250000
0.0398700 0.2284000 53370.1410000
0.0399500 0.4558000 102509.2200000
0.0399500 0.5698000 91578.6950000
0.0399500 0.9117000 41303.0740000
0.0402100 0.2265000 86123.2810000
0.0402100 0.5661000 78040.4210000
0.0402100 0.7926000 75843.0710000
0.0407200 0.8944000 152316.6800000
0.0409300 0.4450000 29146.5480000
0.0409800 0.6667000 78559.5330000
0.0409800 0.7778000 150877.8100000
0.0409800 1.0000000 878879.8200000
0.0410600 0.1109000 47835.2590000
0.0410600 0.8871000 48427.6310000
0.0411500 0.3320000 58753.0230000
0.0412300 0.9939000 72967.5280000
0.0414800 0.3293000 88373.4100000
0.0414800 0.5488000 97570.6670000
0.0414800 0.7683000 64278.0250000
0.0414800 0.9879000 162568.1400000
0.0417300 0.4364000 65737.5870000
0.0417300 0.8729000 74059.9220000
0.0419800 0.6508000 154973.8200000
0.0421400 0.7563000 66904.1310000
0.0421400 0.9724000 55098.1530000
0.0422200 0.5392000 80421.5490000
0.0422200 0.6470000 66827.3530000
0.0423200 0.0000000 19703.7410000
0.0424100 0.2147000 18822.4620000
0.0425100 0.1071000 26280.5630000
0.0428300 0.6378000 36405.0540000
0.0429500 0.7420000 49283.5280000
0.0429500 0.9540000 116361.7400000
0.0430000 0.4235000 38300.4870000
0.0430500 0.8461000 49234.9510000
0.0431500 0.5276000 50071.3100000
0.0431900 0.3162000 48564.4040000
0.0431900 0.7379000 113440.7000000
0.0433500 0.9452000 48236.5100000
0.0439100 0.5185000 56791.6350000
0.0439100 0.8296000 87415.5580000
0.0440300 0.2068000 47506.6150000
0.0441400 0.3094000 42854.1530000
0.0441400 0.6189000 116698.9000000
0.0441400 0.7220000 66338.0970000
0.0441400 0.9283000 83759.6000000
0.0446100 0.8165000 116424.7500000
0.0446900 0.4075000 65558.7430000
0.0448400 0.5077000 216799.8000000
0.0448400 0.6092000 80207.0670000
0.0448400 0.9138000 130105.8400000
0.0450700 0.4041000 108940.8200000
0.0451500 0.1008000 71741.4970000
0.0451500 0.9076000 67283.7430000
0.0451900 0.3023000 56796.5890000
0.0451900 0.5038000 39985.6510000
0.0452300 0.8054000 64171.9220000
0.0452400 0.7044000 36240.1220000
0.0455300 1.0000000 522521.9700000
0.0457100 0.5976000 33496.1640000
0.0457600 0.7960000 83418.6660000
0.0457600 0.8955000 90287.6380000
0.0458700 0.6948000 39097.5770000
0.0458700 0.9926000 68865.5070000
0.0460600 0.3955000 44675.2590000
0.0464300 0.5883000 99689.4870000
0.0464300 0.9806000 102203.2300000
0.0465400 0.7826000 54739.8200000
0.0466500 0.9759000 84421.3310000
0.0466900 0.1951000 12224.0790000
0.0468800 0.3885000 142178.6300000
0.0468800 0.4857000 22204.6100000
0.0469500 0.2909000 61620.1280000
0.0469600 0.8725000 30910.8810000
0.0471000 0.6767000 65692.6440000
0.0471200 0.0000000 17792.8970000
0.0473200 0.9623000 121845.2900000
0.0474600 0.0960100 12104.3360000
0.0475400 0.7663000 52393.6410000
0.0475800 0.5742000 34641.8970000
0.0476800 0.9549000 47786.3020000
0.0477500 0.4767000 25775.0540000
0.0477500 0.6674000 112563.8400000
0.0477500 0.8581000 76357.7920000
0.0478400 0.2855000 28640.9690000
0.0484000 0.7526000 160885.6800000
0.0484000 0.8466000 119219.5700000
0.0484000 0.9407000 116395.0400000
0.0485700 0.6562000 28866.3530000
0.0487200 0.4673000 50399.7410000
0.0487500 0.3736000 18827.7850000
0.0487800 0.7467000 24512.3590000
0.0489700 0.8369000 30239.6350000
0.0491400 0.2780000 44890.8400000
0.0491700 0.1852000 26874.7460000
0.0492500 0.5547000 32876.1480000
0.0492500 0.6472000 99314.8560000
0.0492500 0.7396000 77299.0540000
0.0492500 0.9245000 33593.9490000
0.0494600 0.8285000 60917.2040000
0.0495600 0.3675000 39158.9510000
0.0498800 0.9129000 77873.1530000
0.0500800 0.1818000 76025.7920000
0.0500800 0.5455000 29661.5900000
0.0501900 0.8165000 31091.6400000
0.0502900 0.2716000 65274.5920000
0.0502900 0.3621000 143912.0800000
0.0502900 0.7243000 82645.6510000
0.0503300 0.6332000 22930.6400000
0.0503600 0.4521000 64153.7120000
0.0504300 0.0902900 75989.4100000
0.0509000 0.7155000 62833.1150000
0.0509000 0.9839000 132303.3500000
0.0509900 0.8930000 18439.6250000
0.0510100 0.5356000 29788.2850000
0.0511100 0.8018000 68972.8810000
0.0511100 0.9800000 43212.9220000
0.0511900 0.4447000 24895.8970000
0.0513100 0.3550000 44926.3280000
0.0514500 0.2655000 24494.6760000
0.0516700 0.7049000 28709.9430000
0.0517100 0.8805000 72917.3620000
0.0518700 0.9948000 35233.9260000
0.0519100 0.6140000 24179.4870000
0.0519300 0.1754000 9668.8199000
0.0519600 0.9639000 16118.6350000
0.0522100 0.7849000 19592.1820000
0.0523100 0.6963000 78200.5230000
0.0523100 0.8704000 92436.2250000
0.0523600 0.0870000 7993.8744000
0.0523600 1.0000000 147577.5800000
0.0523900 0.0000000 15824.7380000
0.0524100 0.4344000 25128.5580000
0.0525100 0.5203000 49735.3070000
0.0527100 0.6047000 23557.5280000
0.0527100 0.7775000 38651.6900000
0.0527100 0.8639000 62241.2920000
0.0527100 0.9503000 53547.9580000
0.0528400 0.3447000 24477.7890000
0.0531000 0.5145000 13161.4970000
0.0532000 0.2568000 11404.8100000
0.0532300 0.8554000 32807.1120000
0.0533300 0.6830000 14633.8710000
0.0534900 0.9364000 19609.3070000
0.0535800 0.5948000 26516.4460000
0.0536800 0.7634000 52608.1510000
0.0537800 0.4234000 30179.5220000
0.0539700 0.1687000 34710.7630000
