# k    mu    diag_Cov_Pwnw
0.0045530 1.0000000 1157302.2000000
0.0064390 0.7071000 261057.0500000
0.0077730 0.0000000 213087.8100000
0.0078860 0.5774000 246037.7500000
0.0091060 1.0000000 2443564.8000000
0.0101800 0.4472000 234573.4400000
0.0101800 0.8944000 472248.1400000
0.0111500 0.4082000 164640.7700000
0.0111500 0.8165000 610068.1100000
0.0126200 0.0000000 47926.6030000
0.0128800 0.7071000 353946.9500000
0.0136600 0.3333000 298309.5100000
0.0136600 0.6667000 332523.0100000
0.0136600 1.0000000 2212135.8000000
0.0144000 0.3162000 301252.3000000
0.0144000 0.9487000 409095.5300000
0.0151000 0.3015000 152381.9900000
0.0151000 0.9045000 540871.4800000
0.0157700 0.5774000 413908.3900000
0.0164200 0.5547000 457998.7900000
0.0164200 0.8321000 465500.2600000
0.0170400 0.2673000 119578.8700000
0.0170400 0.5345000 132623.3300000
0.0170400 0.8018000 234413.7800000
0.0179800 0.0000000 86956.6670000
0.0182100 1.0000000 1416703.2000000
0.0187700 0.2425000 355516.5600000
0.0187700 0.4851000 191876.3500000
0.0187700 0.7276000 253966.7500000
0.0187700 0.9701000 782543.0100000
0.0193200 0.2357000 133014.3200000
0.0193200 0.7071000 462485.5800000
0.0193200 0.9428000 908361.7900000
0.0198500 0.2294000 215937.3200000
0.0198500 0.6882000 221394.6200000
0.0203600 0.4472000 456152.9200000
0.0203600 0.8944000 333226.6000000
0.0208600 0.2182000 188960.5100000
0.0208600 0.4364000 115671.7900000
0.0208600 0.8729000 301871.7900000
0.0213600 0.4264000 205701.1800000
0.0213600 0.6396000 197914.2200000
0.0223100 0.4082000 199805.7900000
0.0223100 0.8165000 400787.1200000
0.0227200 0.0000000 44629.1670000
0.0227700 0.6000000 496902.5500000
0.0227700 0.8000000 426192.2400000
0.0227700 1.0000000 1794368.2000000
0.0232200 0.5883000 265797.3700000
0.0232200 0.7845000 273571.7300000
0.0232200 0.9806000 1097191.7000000
0.0233900 0.1946000 44688.4510000
0.0236600 0.5774000 425330.2100000
0.0236600 0.9623000 953400.0000000
0.0245200 0.3714000 96606.1540000
0.0245200 0.5571000 197613.4500000
0.0245200 0.7428000 370925.5800000
0.0245200 0.9285000 802806.1500000
0.0249400 0.1826000 89459.7210000
0.0249400 0.3651000 172096.5100000
0.0249400 0.9129000 264906.9800000
0.0257600 0.7071000 373132.4700000
